Book_ID,Book_Title,Price,Availability,Star_Rating,Book_URL
40,The Natural History of Us (The Fine Art of Pretending #2),Â£45.22,In stock,Three,https://books.toscrape.com/catalogue/the-natural-history-of-us-the-fine-art-of-pretending-2_941/index.html
41,The Nameless City (The Nameless City #1),Â£38.16,In stock,Four,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html
42,The Murder That Never Was (Forensic Instincts #5),Â£54.11,In stock,Three,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html
43,The Most Perfect Thing: Inside (and Outside) a Bird's Egg,Â£42.96,In stock,Four,https://books.toscrape.com/catalogue/the-most-perfect-thing-inside-and-outside-a-birds-egg_938/index.html
44,"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",Â£23.89,In stock,Four,https://books.toscrape.com/catalogue/the-mindfulness-and-acceptance-workbook-for-anxiety-a-guide-to-breaking-free-from-anxiety-phobias-and-worry-using-acceptance-and-commitment-therapy_937/index.html
45,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Â£16.77,In stock,Three,https://books.toscrape.com/catalogue/the-life-changing-magic-of-tidying-up-the-japanese-art-of-decluttering-and-organizing_936/index.html
46,"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",Â£20.59,In stock,Five,https://books.toscrape.com/catalogue/the-inefficiency-assassin-time-management-tactics-for-working-smarter-not-longer_935/index.html
47,The Gutsy Girl: Escapades for Your Life of Epic Adventure,Â£37.13,In stock,One,https://books.toscrape.com/catalogue/the-gutsy-girl-escapades-for-your-life-of-epic-adventure_934/index.html
48,The Electric Pencil: Drawings from Inside State Hospital No. 3,Â£56.06,In stock,One,https://books.toscrape.com/catalogue/the-electric-pencil-drawings-from-inside-state-hospital-no-3_933/index.html
49,The Death of Humanity: and the Case for Life,Â£58.11,In stock,Four,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html
50,"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",Â£49.05,In stock,Three,https://books.toscrape.com/catalogue/the-bulletproof-diet-lose-up-to-a-pound-a-day-reclaim-energy-and-focus-upgrade-your-life_931/index.html
51,The Art Forger,Â£40.76,In stock,Three,https://books.toscrape.com/catalogue/the-art-forger_930/index.html
52,The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,Â£19.73,In stock,One,https://books.toscrape.com/catalogue/the-age-of-genius-the-seventeenth-century-and-the-birth-of-the-modern-mind_929/index.html
53,The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,Â£32.24,In stock,Five,https://books.toscrape.com/catalogue/the-activists-tao-te-ching-ancient-advice-for-a-modern-revolution_928/index.html
54,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Â£41.83,In stock,Four,https://books.toscrape.com/catalogue/spark-joy-an-illustrated-master-class-on-the-art-of-organizing-and-tidying-up_927/index.html
55,Soul Reader,Â£39.58,In stock,Two,https://books.toscrape.com/catalogue/soul-reader_926/index.html
56,Security,Â£39.25,In stock,Two,https://books.toscrape.com/catalogue/security_925/index.html
57,"Saga, Volume 6 (Saga (Collected Editions) #6)",Â£25.02,In stock,Three,https://books.toscrape.com/catalogue/saga-volume-6-saga-collected-editions-6_924/index.html
58,"Saga, Volume 5 (Saga (Collected Editions) #5)",Â£51.04,In stock,Two,https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html
59,Reskilling America: Learning to Labor in the Twenty-First Century,Â£19.83,In stock,Two,https://books.toscrape.com/catalogue/reskilling-america-learning-to-labor-in-the-twenty-first-century_922/index.html
60,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",Â£50.40,In stock,Three,https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html
61,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",Â£13.61,In stock,Five,https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html
62,Princess Between Worlds (Wide-Awake Princess #5),Â£13.34,In stock,Five,https://books.toscrape.com/catalogue/princess-between-worlds-wide-awake-princess-5_919/index.html
63,"Pop Gun War, Volume 1: Gift",Â£18.97,In stock,One,https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html
64,"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",Â£36.28,In stock,Two,https://books.toscrape.com/catalogue/political-suicide-missteps-peccadilloes-bad-calls-backroom-hijinx-sordid-pasts-rotten-breaks-and-just-plain-dumb-mistakes-in-the-annals-of-american-politics_917/index.html
65,Patience,Â£10.16,In stock,Three,https://books.toscrape.com/catalogue/patience_916/index.html
66,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",Â£15.44,In stock,Four,https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html
67,orange: The Complete Collection 1 (orange: The Complete Collection #1),Â£48.41,In stock,One,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html
68,Online Marketing for Busy Authors: A Step-By-Step Guide,Â£46.35,In stock,One,https://books.toscrape.com/catalogue/online-marketing-for-busy-authors-a-step-by-step-guide_913/index.html
69,On a Midnight Clear,Â£14.07,In stock,Three,https://books.toscrape.com/catalogue/on-a-midnight-clear_912/index.html
70,Obsidian (Lux #1),Â£14.86,In stock,Two,https://books.toscrape.com/catalogue/obsidian-lux-1_911/index.html
71,My Paris Kitchen: Recipes and Stories,Â£33.37,In stock,Two,https://books.toscrape.com/catalogue/my-paris-kitchen-recipes-and-stories_910/index.html
72,Masks and Shadows,Â£56.40,In stock,Two,https://books.toscrape.com/catalogue/masks-and-shadows_909/index.html
73,"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",Â£14.02,In stock,Four,https://books.toscrape.com/catalogue/mama-tried-traditional-italian-cooking-for-the-screwed-crude-vegan-and-tattooed_908/index.html
74,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",Â£46.91,In stock,Two,https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html
75,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",Â£45.61,In stock,Three,https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html
76,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Â£19.92,In stock,Two,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html
77,"Layered: Baking, Building, and Styling Spectacular Cakes",Â£40.11,In stock,One,https://books.toscrape.com/catalogue/layered-baking-building-and-styling-spectacular-cakes_904/index.html
78,Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),Â£53.90,In stock,Two,https://books.toscrape.com/catalogue/judo-seven-steps-to-black-belt-an-introductory-guide-for-beginners_903/index.html
79,Join,Â£35.67,In stock,Five,https://books.toscrape.com/catalogue/join_902/index.html
80,In the Country We Love: My Family Divided,Â£22.00,In stock,Four,https://books.toscrape.com/catalogue/in-the-country-we-love-my-family-divided_901/index.html
